province,date,ML,Low_90,High_90,Low_50,High_50
Eastern Cape,2020-04-09,3.0,0.86,6.84,1.86,4.2700000000000005
Eastern Cape,2020-04-10,2.48,0.8,4.46,1.6400000000000001,3.17
Eastern Cape,2020-04-11,2.99,1.31,4.68,2.2,3.6
Eastern Cape,2020-04-12,2.7800000000000002,1.24,4.16,2.11,3.31
Eastern Cape,2020-04-13,2.74,1.36,3.98,2.11,3.19
Eastern Cape,2020-04-14,2.45,1.19,3.59,1.86,2.85
Eastern Cape,2020-04-15,1.95,0.74,3.02,1.41,2.35
Eastern Cape,2020-04-16,1.43,0.26,2.43,0.91,1.83
Eastern Cape,2020-04-17,1.05,0.0,1.98,0.51,1.4000000000000001
Eastern Cape,2020-04-18,0.75,0.0,1.77,0.26,1.08
Eastern Cape,2020-04-19,0.85,0.0,1.8800000000000001,0.39,1.24
Eastern Cape,2020-04-20,0.93,0.0,1.95,0.42,1.3
Eastern Cape,2020-04-21,1.1500000000000001,0.07,2.18,0.61,1.54
Eastern Cape,2020-04-22,1.23,0.13,2.2600000000000002,0.71,1.6400000000000001
Gauteng,2020-03-17,3.0,0.86,6.84,1.86,4.2700000000000005
Gauteng,2020-03-18,2.57,1.05,4.11,1.93,3.2
Gauteng,2020-03-19,2.45,1.1300000000000001,3.66,1.8900000000000001,2.93
Gauteng,2020-03-20,2.16,0.98,3.24,1.6300000000000001,2.56
Gauteng,2020-03-21,2.0300000000000002,0.92,3.04,1.55,2.42
Gauteng,2020-03-22,1.86,0.78,2.81,1.34,2.18
Gauteng,2020-03-23,1.83,0.8,2.7600000000000002,1.35,2.16
Gauteng,2020-03-24,1.69,0.68,2.58,1.26,2.04
Gauteng,2020-03-25,1.5,0.52,2.37,1.03,1.8
Gauteng,2020-03-26,1.1400000000000001,0.19,1.96,0.73,1.48
Gauteng,2020-03-27,0.77,0.0,1.55,0.38,1.08
Gauteng,2020-03-28,0.32,0.0,1.18,0.0,0.53
Gauteng,2020-03-29,0.28,0.0,1.12,0.0,0.5
Gauteng,2020-03-30,0.28,0.0,1.12,0.01,0.5
Gauteng,2020-03-31,0.49,0.0,1.34,0.13,0.74
Gauteng,2020-04-01,0.6,0.0,1.5,0.17,0.86
Gauteng,2020-04-02,0.62,0.0,1.56,0.24,0.9500000000000001
Gauteng,2020-04-03,0.48,0.0,1.45,0.07,0.73
Gauteng,2020-04-04,0.45,0.0,1.42,0.07,0.71
Gauteng,2020-04-05,0.43,0.0,1.4000000000000001,0.04,0.67
Gauteng,2020-04-06,0.6,0.0,1.62,0.19,0.92
Gauteng,2020-04-07,0.79,0.0,1.85,0.37,1.2
Gauteng,2020-04-08,0.88,0.0,1.95,0.39,1.27
Gauteng,2020-04-09,0.9500000000000001,0.0,2.02,0.43,1.34
Gauteng,2020-04-10,0.84,0.0,1.92,0.31,1.19
Gauteng,2020-04-11,0.6900000000000001,0.0,1.78,0.2,1.02
Gauteng,2020-04-12,0.73,0.0,1.83,0.31,1.1400000000000001
Gauteng,2020-04-13,1.0,0.0,2.09,0.5,1.43
Gauteng,2020-04-14,1.59,0.35000000000000003,2.74,1.0,2.02
Gauteng,2020-04-15,1.92,0.7000000000000001,3.0500000000000003,1.33,2.31
Gauteng,2020-04-16,1.9100000000000001,0.71,2.93,1.43,2.34
Gauteng,2020-04-17,1.6300000000000001,0.53,2.63,1.17,2.04
Gauteng,2020-04-18,1.27,0.24,2.22,0.77,1.62
Gauteng,2020-04-19,0.8300000000000001,0.0,1.71,0.41000000000000003,1.19
Gauteng,2020-04-20,0.55,0.0,1.49,0.21,0.89
Gauteng,2020-04-21,0.5,0.0,1.44,0.1,0.76
Gauteng,2020-04-22,0.5700000000000001,0.0,1.52,0.18,0.87
KwaZulu-Natal,2020-03-21,3.0,0.86,6.84,1.86,4.2700000000000005
KwaZulu-Natal,2020-03-22,2.74,0.9400000000000001,4.82,1.9000000000000001,3.52
KwaZulu-Natal,2020-03-23,2.54,0.9400000000000001,4.26,1.79,3.17
KwaZulu-Natal,2020-03-24,2.37,0.81,3.84,1.62,2.88
KwaZulu-Natal,2020-03-25,2.1,0.61,3.44,1.41,2.59
KwaZulu-Natal,2020-03-26,1.7,0.27,2.91,1.04,2.17
KwaZulu-Natal,2020-03-27,1.51,0.17,2.69,0.8300000000000001,1.94
KwaZulu-Natal,2020-03-28,0.99,0.0,2.18,0.37,1.3800000000000001
KwaZulu-Natal,2020-03-29,1.28,0.06,2.48,0.7000000000000001,1.78
KwaZulu-Natal,2020-03-30,1.51,0.18,2.71,0.84,1.95
KwaZulu-Natal,2020-03-31,1.74,0.38,2.95,1.17,2.2600000000000002
KwaZulu-Natal,2020-04-01,1.77,0.43,2.92,1.1500000000000001,2.2
KwaZulu-Natal,2020-04-02,1.51,0.24,2.58,0.9500000000000001,1.95
KwaZulu-Natal,2020-04-03,1.06,0.02,2.08,0.55,1.48
KwaZulu-Natal,2020-04-04,0.9,0.0,1.96,0.43,1.32
KwaZulu-Natal,2020-04-05,0.8,0.0,1.8800000000000001,0.31,1.17
KwaZulu-Natal,2020-04-06,1.24,0.1,2.32,0.71,1.68
KwaZulu-Natal,2020-04-07,1.3,0.13,2.35,0.72,1.69
KwaZulu-Natal,2020-04-08,1.26,0.12,2.2800000000000002,0.77,1.71
KwaZulu-Natal,2020-04-09,0.98,0.0,1.96,0.53,1.41
KwaZulu-Natal,2020-04-10,0.71,0.0,1.74,0.27,1.07
KwaZulu-Natal,2020-04-11,0.63,0.0,1.6600000000000001,0.19,0.9500000000000001
KwaZulu-Natal,2020-04-12,0.6900000000000001,0.0,1.73,0.24,1.03
KwaZulu-Natal,2020-04-13,0.81,0.0,1.85,0.33,1.17
KwaZulu-Natal,2020-04-14,1.1400000000000001,0.08,2.2,0.65,1.58
KwaZulu-Natal,2020-04-15,1.1400000000000001,0.06,2.16,0.58,1.51
KwaZulu-Natal,2020-04-16,1.22,0.15,2.27,0.6900000000000001,1.62
KwaZulu-Natal,2020-04-17,0.96,0.0,1.93,0.47000000000000003,1.34
KwaZulu-Natal,2020-04-18,1.0,0.0,1.97,0.49,1.37
KwaZulu-Natal,2020-04-19,1.11,0.1,2.13,0.58,1.48
KwaZulu-Natal,2020-04-20,1.26,0.17,2.27,0.75,1.6600000000000001
KwaZulu-Natal,2020-04-21,1.42,0.28,2.42,0.89,1.8
KwaZulu-Natal,2020-04-22,1.51,0.39,2.5,0.98,1.87
Western Cape,2020-03-27,3.0,0.86,6.84,1.86,4.2700000000000005
Western Cape,2020-03-28,4.1,2.35,5.7700000000000005,3.3000000000000003,4.72
Western Cape,2020-03-29,3.94,2.69,5.09,3.36,4.3500000000000005
Western Cape,2020-03-30,3.15,2.14,4.1,2.67,3.48
Western Cape,2020-03-31,2.17,1.21,3.02,1.79,2.5300000000000002
Western Cape,2020-04-01,1.3,0.34,2.11,0.85,1.59
Western Cape,2020-04-02,0.59,0.0,1.4000000000000001,0.2,0.85
Western Cape,2020-04-03,0.0,0.0,0.91,0.0,0.35000000000000003
Western Cape,2020-04-04,0.25,0.0,1.06,0.0,0.46
Western Cape,2020-04-05,0.26,0.0,1.12,0.0,0.49
Western Cape,2020-04-06,0.41000000000000003,0.0,1.3,0.04,0.63
Western Cape,2020-04-07,0.48,0.0,1.44,0.09,0.74
Western Cape,2020-04-08,0.63,0.0,1.6500000000000001,0.18,0.93
Western Cape,2020-04-09,0.81,0.0,1.8800000000000001,0.33,1.18
Western Cape,2020-04-10,1.07,0.02,2.14,0.55,1.49
Western Cape,2020-04-11,1.28,0.11,2.36,0.75,1.73
Western Cape,2020-04-12,1.34,0.2,2.44,0.75,1.73
Western Cape,2020-04-13,1.36,0.17,2.4,0.86,1.82
Western Cape,2020-04-14,1.75,0.5,2.8000000000000003,1.18,2.14
Western Cape,2020-04-15,1.99,0.85,3.04,1.5,2.4
Western Cape,2020-04-16,2.0,0.9,2.96,1.49,2.34
Western Cape,2020-04-17,1.96,0.92,2.87,1.5,2.3000000000000003
Western Cape,2020-04-18,1.84,0.8300000000000001,2.7,1.3800000000000001,2.15
Western Cape,2020-04-19,1.74,0.81,2.61,1.33,2.07
Western Cape,2020-04-20,1.67,0.75,2.5,1.26,1.98
Western Cape,2020-04-21,1.56,0.65,2.36,1.12,1.83
Western Cape,2020-04-22,1.67,0.78,2.45,1.25,1.94
